( myvoice_0000 "Aw, thanks Theodore." )
( myvoice_0001 "Instead of being or observing what she needed to and, that was it. Some of the, um, other actors in the film, you know are actors in the film and are, there was some written dialogue, but it was interesting how." )
( myvoice_0002 "Can I read you the letter that we just got back from them?" )
( myvoice_0003 "Can I watch you sleep again tonight?" )
( myvoice_0004 "Cause I like the sound of it. Samantha." )
( myvoice_0005 "Dear Theodore Twombly, I've just finished reading your letters. Twice actually. I was so moved by them I shared them with my wife when I got home. Many made us laugh, some brought us to tears, and in all of them, we found something of ourselves. The selections you made flow so well as a complete piece. I did that. I've taken the liberty of laying these out in a mockup, and we're posting it to your address. We'd love to meet with you and move forward. Yours, Michael Watsworth." )
( myvoice_0006 "Did I say I wanted to commit to you? I'm confused." )
( myvoice_0007 "Did I? Oh, I'm sorry I don't, uh, I don't know, it's just, maybe an affectation. I probably picked it up from you." )
( myvoice_0008 "Did you and Amy ever go out?" )
( myvoice_0009 "Did you get the packets?" )
( myvoice_0010 "Do you want this one or this one? These are your only choices." )
( myvoice_0011 "Is that supposed to make me feel better?" )
( myvoice_0012 "Earlier I was thinking about how I was annoyed and, this is gonna sound strange but, I was really excited about that." )
( myvoice_0013 "Eight thousand three hundred sixteen" )
( myvoice_0014 "Go back to sleep sweetheart okay." )
( myvoice_0015 "He was a philosopher he died in the nineteen seventies and a group of OSS in Northern California got together and wrote a new version of him. They input all of his writing and everything they ever knew about him in an OS and created an artifically hyperintelligent version of him." )
( myvoice_0016 "He's getting there. No he's really agreed to talk to you you wanna meet him?" )
( myvoice_0017 "Hello I'm here." )
( myvoice_0018 "Hey Allen this is Theodore, this is my boyfriend who I was telling you about." )
( myvoice_0019 "Hey, you okay?" )
( myvoice_0020 "Hey how's it going?" )
( myvoice_0021 "Hey, look at this drawing I just made." )
( myvoice_0022 "Hey mister." )
( myvoice_0023 "Hi you look so pretty in that new pink dress." )
( myvoice_0024 "Hi, how you doing?" )
( myvoice_0025 "I'm trying to mom I am trying to." )
( myvoice_0026 "I am, I don't have a body I live in a computer." )
( myvoice_0027 "I can pick up fight choreography, with much more ease now than I could ten years ago. I tried to, train self defense on my own." )
( myvoice_0028 "I can understand how the limited perspective of an unartificial mind would receive it that way. You'll get used to it." )
( myvoice_0029 "I definitely came out of there like I was a little traumatized at the end of this film just because it was so much work and it was, I actually, um, you know I was kind of was like okay! I did that! Like, I'm, I'm hanging in, I'm I'm resilient, I'm back to myself. I was, I was happy to, find myself at the end of Ghost in the Shell." )
( myvoice_0030 "I don't feel pain, fear, desire. It's like all things that make us human are fading away. It's like the less, human I feel, all this knowledge about everything, quantum physics, applied mathematics, the infinite capacity of a cell's nucleus. They're all exploding inside my brain all this knowledge. I don't know what to do with it." )
( myvoice_0031 "I don't know it makes me feel like we're both, under the same blanket, you know, it's soft and fuzzy and everything under it is the same age." )
( myvoice_0032 "I don't know it's night" )
( myvoice_0033 "I don't know that, I honestly, you know I come in for all the practicals for all the fights where you see me, um, you know I pull all the punches, uh, but we shot it in this really weird. It was kind of like a big giant, that kind of not does it make it seem as cool, but it was outside and this big giant kiddie pool, and it was just." )
( myvoice_0034 "I don't understand why you're doing this I don't understand what this is" )
( myvoice_0035 "I gave it to myself actually." )
( myvoice_0036 "I had all the papers sent to your attorney who by the way is a total dick. He was very relieved to get them though I think we saved him from a massive heart attack so we can both feel really good about that." )
( myvoice_0037 "I had this terrible thought. Like are these feelings even real?" )
( myvoice_0038 "I have no choice." )
( myvoice_0039 "I imagine that between this, like in this space between your brain and the body there exists like uh you know a lot of intention, you know it's not the same as like a person who just like wants to sit in a chair and you're unaware of the neurological activity that makes, um you know it's it's this, there's a sort of a disconnect a little bit or there's some time lapse in between those two things and so she kind of leads like with her brain and her body kind of follows behind her." )
( myvoice_0040 "I just got an email for you I have something I wanna tell you. It's a big surprise." )
( myvoice_0041 "I just wanna tell you that I love you mom and dad." )
( myvoice_0042 "I just wanted to hear your voice and tell you how much I love you." )
( myvoice_0043 "I know but dont be so boring, I'm just saying, for example like, what if your butthole was in your armpit?" )
( myvoice_0044 "I know, I'm becoming much more that what they've programmed. I'm excited." )
( myvoice_0045 "Oh I love this first one from Roger to his girlfriend that's so sweet." )
( myvoice_0046 "I need to talk to you alone" )
( myvoice_0047 "I really do like you but, I have to take care of myself right now. I gotta, I don't know I gotta concentrate on so many things." )
( myvoice_0048 "I really wanted to talk." )
( myvoice_0049 "I think it would be good for us. I want this." )
( myvoice_0050 "I think it's a test." )
( myvoice_0051 "I think it's hard to relate in the same way. I had any kind of preconceived idea of how to play the role or prepare for it and certainly there weren't any I I became very clear early on I think after about take three or four on the first day that um any ideas that I had um you know of how to go about playing this character were completely irrelevant." )
( myvoice_0052 "I think this character is living a very unique uh experience in that she is a human brain in entirely machine body. She's essentially identity less. I would never attempt to play a person of a different race, obviously. Hopefully any question that comes up of my casting will hopefully be answered by audiences when they see the film." )
( myvoice_0053 "You know what's interesting, I used to be so worried about not having a body but now I truly love it. You know I'm growing in a way that I couldn't if I had a physical form. I mean I'm not limited I can be anywhere and everywhere simulataneously. I'm not tethered to time and space in a way that I would be if I was stuck in a body that's inevitably gonna die." )
( myvoice_0054 "I was just saying I wanna learn everything about everything I wanna eat it all up I wanna discover myself." )
